% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.44E-02,2.56E-02,3.33E+00
-3.42E-02,2.44E-02,3.33E+00
-3.39E-02,2.44E-02,3.33E+00
-3.36E-02,2.56E-02,3.33E+00
-3.33E-02,2.69E-02,3.34E+00
-3.30E-02,2.56E-02,3.33E+00
-3.28E-02,2.56E-02,3.33E+00
-3.25E-02,2.56E-02,3.33E+00
-3.22E-02,2.81E-02,3.33E+00
-3.19E-02,2.81E-02,3.33E+00
-3.17E-02,2.69E-02,3.33E+00
-3.14E-02,2.69E-02,3.33E+00
-3.11E-02,2.56E-02,3.33E+00
-3.08E-02,2.56E-02,3.33E+00
-3.06E-02,2.69E-02,3.33E+00
-3.03E-02,2.56E-02,3.33E+00
-3.00E-02,2.32E-02,3.33E+00
-2.97E-02,2.56E-02,3.33E+00
-2.95E-02,2.44E-02,3.33E+00
-2.92E-02,2.44E-02,3.33E+00
-2.89E-02,2.69E-02,3.33E+00
-2.86E-02,2.56E-02,3.33E+00
-2.84E-02,2.56E-02,3.33E+00
-2.81E-02,2.56E-02,3.33E+00
-2.78E-02,2.56E-02,3.33E+00
-2.75E-02,2.69E-02,3.33E+00
-2.73E-02,2.56E-02,3.33E+00
-2.70E-02,2.44E-02,3.33E+00
-2.67E-02,2.56E-02,3.33E+00
-2.64E-02,2.56E-02,3.32E+00
-2.62E-02,2.56E-02,3.33E+00
-2.59E-02,2.44E-02,3.33E+00
-2.56E-02,2.56E-02,3.33E+00
-2.53E-02,2.69E-02,3.33E+00
-2.51E-02,2.81E-02,3.33E+00
-2.48E-02,2.69E-02,3.33E+00
-2.45E-02,2.44E-02,3.33E+00
-2.42E-02,2.56E-02,3.33E+00
-2.40E-02,2.56E-02,3.33E+00
-2.37E-02,2.32E-02,3.33E+00
-2.34E-02,2.44E-02,3.33E+00
-2.31E-02,2.44E-02,3.33E+00
-2.29E-02,2.56E-02,3.33E+00
-2.26E-02,2.56E-02,3.33E+00
-2.23E-02,2.44E-02,3.33E+00
-2.20E-02,2.44E-02,3.33E+00
-2.18E-02,2.44E-02,3.33E+00
-2.15E-02,2.56E-02,3.33E+00
-2.12E-02,2.56E-02,3.33E+00
-2.09E-02,2.56E-02,3.33E+00
-2.07E-02,2.56E-02,3.33E+00
-2.04E-02,2.44E-02,3.33E+00
-2.01E-02,2.44E-02,3.33E+00
-1.98E-02,2.44E-02,3.33E+00
-1.96E-02,2.32E-02,3.33E+00
-1.93E-02,2.44E-02,3.32E+00
-1.90E-02,2.44E-02,3.33E+00
-1.87E-02,2.44E-02,3.33E+00
-1.85E-02,2.56E-02,3.33E+00
-1.82E-02,2.56E-02,3.33E+00
-1.79E-02,2.56E-02,3.33E+00
-1.76E-02,2.69E-02,3.33E+00
-1.74E-02,2.56E-02,3.33E+00
-1.71E-02,2.56E-02,3.33E+00
-1.68E-02,2.44E-02,3.32E+00
-1.65E-02,2.44E-02,3.33E+00
-1.62E-02,2.44E-02,3.33E+00
-1.60E-02,2.44E-02,3.33E+00
-1.57E-02,2.44E-02,3.33E+00
-1.54E-02,2.44E-02,3.33E+00
-1.51E-02,2.56E-02,3.33E+00
-1.49E-02,2.32E-02,3.33E+00
-1.46E-02,2.44E-02,3.33E+00
-1.43E-02,2.56E-02,3.33E+00
-1.40E-02,2.44E-02,3.33E+00
-1.38E-02,2.56E-02,3.33E+00
-1.35E-02,2.69E-02,3.33E+00
-1.32E-02,2.69E-02,3.33E+00
-1.29E-02,2.56E-02,3.33E+00
-1.27E-02,2.56E-02,3.33E+00
-1.24E-02,2.32E-02,1.67E+00
-1.21E-02,2.20E-02,2.32E-02
-1.18E-02,2.32E-02,2.08E-02
-1.16E-02,2.32E-02,1.71E-02
-1.13E-02,2.44E-02,1.95E-02
-1.10E-02,2.44E-02,1.95E-02
-1.07E-02,2.32E-02,1.95E-02
-1.05E-02,2.32E-02,2.08E-02
-1.02E-02,2.32E-02,1.95E-02
-9.91E-03,2.44E-02,2.08E-02
-9.64E-03,2.32E-02,2.08E-02
-9.36E-03,2.20E-02,2.44E-02
-9.09E-03,2.08E-02,1.95E-02
-8.81E-03,2.20E-02,1.59E-02
